text,label
"Mai 8h gặp khách hàng",1
"Hẹn team dev lúc 3h chiều",1
"Call zoom thứ 6 tuần sau",1
"Ăn trưa chưa",0
"Fix bug này gấp",0
"Sáng mai 9h họp giao ban nha mọi người",1
"Cà phê không ông giáo ơi",1
"Tối nay 7h qua nhà tôi nhậu nhé",1
"Reminder: Sync up lúc 2h chiều nay",1
"Để tôi gửi tài liệu qua mail sau",0
"Task này xong chưa em?",0
"Lên lịch đi chơi Đà Lạt tháng sau đi",1
"Chiều thứ 4 tuần tới làm trận bóng lúc 5h nhé",1
"Deadline là cuối ngày hôm nay",0
"Check tin nhắn Zalo của tôi với",0
"10h sáng mai có lịch phỏng vấn ứng viên",1
"Mưa to quá chắc không đi được rồi",0
"Book phòng họp lúc 2h chiều cho team marketing",1
"Cuối tuần này rảnh không, đi xem phim đi",1
"Đang bận làm báo cáo rồi",0
"Họp hội đồng quản trị lúc 14:00 ngày 25/12",1
"Sửa hộ cái file excel này với",0
"Trưa nay 12h ăn ở quán cũ nhé",1
"Mai mấy giờ ông qua?",1
"Làm xong nhớ gửi feedback sớm",0
"Cần gấp một file thiết kế",0
"Sáng thứ Hai tuần tới gặp đối tác bên Quận 1",1
"Lát nữa 4h chiều call nhanh 15p nhé",1
"Hôm nay trời đẹp quá",0
"Nhắc tôi họp lúc 9h sáng",1
"Tối mai đi trà đá vỉa hè không",1
"Gửi tôi link Zoom buổi hội thảo sáng nay",0
"Review code giúp mình với",0
"Chiều nay 3h qua phòng sếp họp",1
"Set lịch họp tuần tới đi em",1
"Mọi người nhớ check mail lúc 5h",0
"Party công ty tối thứ 6 tuần này tại Landmark",1
"Đừng quên deadline nộp thuế",0
"Ăn tối lúc 19h tại nhà hàng Sen",1
"Sắp xếp lịch gặp bên cung ứng vào sáng mai",1
"Cho mình xin file báo cáo quý 3",0
"Cái này làm theo hướng này nhé",0
"Thứ 5 tuần này 9h gặp ở Highland",1
"Đi trà sữa không cả nhà ơi",1
"Đang kẹt xe quá chưa tới được",0
"Dời lịch họp sang 10h sáng mai nhé",1
"Bao giờ thì xong dự án này",0
"Cuối tuần rảnh thì ghé nhà mình chơi",1
"Mai đi đá bóng lúc 6h tối",1
"Nhớ gửi link bài viết cho tôi",0
"Lát 2h chiều training cho nhân viên mới",1
"Bật cam lên họp online tí",1
"Cái task này khó quá",0
"8h tối nay call tư vấn khách hàng",1
"Sáng chủ nhật 9h cafe ở bến Bạch Đằng",1
"Chưa thấy ai phản hồi email",0
"Đi nhậu đi anh em ơi 7h tối nay",1
"Lịch hẹn với bác sĩ là 3h chiều nay",1
"Tài liệu này thiếu thông tin rồi",0
"Check lại giúp mình cái bảng tính",0
"Hẹn gặp tại sảnh khách sạn lúc 6h sáng",1
"Mai có đi làm không",0
"Thứ 6 này 14h có buổi Workshop",1
"Chốt lịch gặp lúc 9h tối nay qua Meet",1
"Mua giúp tôi cốc cà phê",0
"Đừng đến muộn nhé, 8h bắt đầu",1
"Tối nay đi xem ca nhạc không",1
"Mọi việc ổn cả chứ",0
"Sáng mai 10h sang văn phòng đối tác",1
"Tối nay mấy giờ em tan làm?",1
"Cần hỗ trợ về phần mềm này",0
"Đặt lịch khám răng lúc 4h chiều",1
"Đi ăn cưới bạn lúc 11h trưa mai",1
"Lương về chưa nhỉ",0
"Nhớ mang theo laptop lúc gặp nhé",1
"Mai 7h sáng chạy bộ ở công viên",1
"Tìm giúp tôi cái địa chỉ này",0
"Họp đột xuất lúc 5h chiều nay",1
"Bữa nào rảnh gặp nhau tí",0
"Sáng mai 8h30 có mặt ở văn phòng",1
"Đưa con đi học lúc 7h sáng",1
"Hôm nay bận quá không đi đâu được",0
"Hẹn gặp lại vào 2h chiều thứ 3",1
"Check hộ cái bug này với",0
"Lên lịch phỏng vấn lúc 10h sáng",1
"Trưa nay đi ăn bún chả không",1
"Đang đi công tác rồi",0
"Chiều mai 3h qua lấy đồ nhé",1
"Đừng quên buổi hẹn tối nay",1
"Cần tìm người làm freelancer",0
"8h sáng mai họp team kỹ thuật",1
"Cuối tuần này đi câu cá đi",1
"Công việc dạo này sao rồi",0
"Thứ 2 tuần tới 9h gặp ở sảnh",1
"Mai mấy giờ thì đi được",1
"Gửi báo cáo trước 5h chiều",0
"Đi họp lớp vào 6h tối chủ nhật",1
"Lát 11h trưa call 5 phút trao đổi",1
